Item Name	Vendor Name	Catalog No
Anti-mouse IgM-APC	BD Biosciences	550676
Anti-mouse IgM-FITC	BD Biosciences	553408
Anti-rat IgM Purified	BD Biosciences	553885
APC BrdU Flow Kit	BD Biosciences	552598
Cytofix/Cytoperm	BD Biosciences	554714
Early B lineage FITC	BD Biosciences	559156
Anti-Human/mouse BCL6-Alexa Fluor 647	BD Pharmingen	561525
Anti-Human/mouse CD45R/B220-Biotin	BD Pharmingen	553086
Anti-mouse CD3e-PerCP	BD Pharmingen	553067
Anti-mouse CD5-PerCP	BD Pharmingen	553025
Anti-mouse CD95 (Fas)-PE/Cy7 (hamster)	BD Pharmingen	557653
Anti-mouse GL7-Alexa Fluor 647	BD Pharmingen	561529
Anti-mouse IgG1-Biotin	BD Pharmingen	553441
38.5 mL Centrifuge Tubes	Beckman Coulter	344058
5.1 mL Quick-Seal Centrifuge Tubes	Beckman Coulter	342412
Anti-Human CD3 Purified	Beckman Coulter	IM1280
Anti-Human CD3-FITC	Beckman Coulter	IM1281U
Anti-Human CD58-PE	Beckman Coulter	IM1430
Blue pH10 buffer	Beckman Coulter	582525
Green pH 7 buffer	Beckman Coulter	566003
Red pH 4 Buffer	Beckman Coulter	582517
Bio-Rad Protein Assay Dye Reagent Concentrate	Bio Rad	500-0006
Gene Pulser Cuvette 0.4 cm electrode	Bio Rad	1652088
Precision Plus Standards All Blue	Bio Rad	161-0373
Printer Paper for SmartSpec 3000	Bio Rad	1702506
Anti-Human CD184 (CXCR4)-PE/Cy7	BioLegend	306513
Anti-Human CD184 (CXCR4)-PE/Cy7	BioLegend	306514
Anti-Human CD38-Biotin	BioLegend	305303
Anti-mouse CD45-APC/Cy7 (rat)	BioLegend	103115
Anti-mouse CD83-Biotin	BioLegend	121503
Brilliant Violet 421 anti-mouse IgM	BioLegend	406517
Mouse IgG2a, k Isotype, Ctrl antibody-Pacific Blue	BioLegend	400235
Pacific Blue anti-mouse CD4 [RM4-4] 25 ug	BioLegend	116007
PE/cy7 anti mouse CD23	BioLegend	101613
PE/Cy7 anti mouse CD8a	BioLegend	100721
TruStain fcX (anti-mouse CD16/CD32 ) antibody	BioLegend	101319
Anti-Human A20  (mouse) Monoclonal Antibody Purified	Biosciences	550859
NP-KLH (Keyhole Limpet Hemocyanin)	Biosearch Technologies	N-5060-5
Sankyo Denki 8 Watt UV Lamp	Bulbtronics	31785
Starter Replacement for OSRAM St 151 Starter 220-240V Series; 4; 6; 8; 15; 18; 20; 22W	Bulbtronics	BTFG7P
Anti-PhosphoAKT (Thr308) (C31E5E, Rabbit) mAb-Alexa Fluor 647	Cell Signaling Technology	3375
BCL6 Antibody (4242)	Cell Signaling Technology	4242
H3 Antibody	Cell Signaling Technology	4499P
NF-KB1 P105/p50 Antibody	Cell Signaling Technology	3035S
NF-KB2 P100/p52 Antibody	Cell Signaling Technology	4882S
Titanium DNA Amplification Kit	Clontech	639243
Sheep Red Blood Cells in Alsevere's	Cocalico Biologicals	20-1334A
EnVision +/HRP Anti-Mouse	Dako	K4000
EnVision +/HRP Anti-Rabbit	Dako	K4002
EnVision+ System-HRP Labelled Polymer Anti-Mouse	Dako	K4000
EnVision+ System-HRP Labelled Polymer Anti-Rabbit	Dako	K4003
EnVision+ System-HRP Labelled Polymer Anti-Rabbit	Dako	K4002
Decal Stat	Decal Chemical Corporation	1212
4-Pack: 1 x 11,000-Page Black; 3 x 9,000-Page Cyan/ Magenta/ Yellow Toner for Dell C3760DN Color Laser Printer	Dell Marketing	EBC376X
Black Toner Cartridge for Dell C3760DN Color Laser Printer	Dell Marketing	331-8429
Cyan Toner Cartridge for Dell C3760DN Color Laser Printer	Dell Marketing	331-8432
Magenta Toner Cartridge for Dell C3760DN Color Laser Printer	Dell Marketing	331-8431
Yellow Toner Cartridge for Dell C3760DN Color Laser Printer	Dell Marketing	331-8430
-10C To 200C Spirit Thermometer	Fisher Scientific	S02003D
0.05 % Trypsin EDTA	Fisher Scientific	MT25-052-CI
0.2 mL BrandTech Thin Wall Clear PCR Tubes with flat caps	Fisher Scientific	13-882-58
0.2 um Syringe Filters	Fisher Scientific	09-740-35J
0.25 % Trypsin EDTA	Fisher Scientific	MT25-053-CI
0.45 um Syringe Filters	Fisher Scientific	09-740-61B
1 mL Falcon Disposable Polystyrene Serological Pipets	Fisher Scientific	13-675-15B
1 mL Syringe	Fisher Scientific	14-823-434
1 uL Innoculating Steriloops; blue polystyrene; sterile	Fisher Scientific	22-363-595
1.5 mL Disposable Plastic Cuvettes	Fisher Scientific	14-955-127
1.5 mL Sterile Microcentrifuge Tubes With Screw Caps	Fisher Scientific	02-681-373
1.8 mL Cryo Tubes	Fisher Scientific	12565171N
10 cm x 76 m Parafilm	Fisher Scientific	13-374-12
10 mL Corning Serological Pipets	Fisher Scientific	0 7200574
10 mL Falcon Disposable Polystyrene Serological Pipets	Fisher Scientific	13-675-20
10 mL Falcon Disposable Polystyrene Serological Pipets (bulk pack)	Fisher Scientific	13-675-18
10 mL Syringe	Fisher Scientific	14-823-2A
10 N Sodium Hydroxide Solution	Fisher Scientific	SS255-1
100 mm x 15 mm Petri Dish	Fisher Scientific	08757100D
100 mm x 20 mm Corning Tissue Culture Dish	Fisher Scientific	08-772-22
100 mm x 20 mm Falcon Easy-Grip Tissue Culture Dishes	Fisher Scientific	08-772-E
100 um Sterile Cell Strainer; yellow	Fisher Scientific	22-363-549
1000 mL  Millipore Stericup Sterile Vacuum Filter units (filter bottles); 0.22 um	Fisher Scientific	SCGPU10RE
100x Penicillin Streptomycin Solution	Fisher Scientific	MT30-002-CI
10x Dulbecco's Phosphate-Buffered Salt Solution (DPBS); sterile	Fisher Scientific	MT20-031-CV
12 Well Falcon Tissue Culture Plates	Fisher Scientific	08-772-29
13.5 mL Ultracrimp Tubes	Fisher Scientific	50867251
15 mL Conical Tubes	Fisher Scientific	14-959-70C
150 mm x 25 mm Falcon Easy-Grip Tissue Culture Dishes	Fisher Scientific	08-772-6
16% Formaldehyde Solution Methanol-free	Fisher Scientific	PI28908
1700 mL Vacuum Flask	Fisher Scientific	10-182-51
18 G x 38 mm Needles	Fisher Scientific	148265D
1x Dulbecco's Phosphate-Buffered Salt Solution (DPBS); sterile	Fisher Scientific	MT21-031-CV
2 mL  Corning Serological Pipets	Fisher Scientific	0 7200572
2 mL Falcon Disposable Polystyrene Serological Pipets	Fisher Scientific	13-675-17
2 mL Microcentrifuge Tubes	Fisher Scientific	5408138
2 mL Sterile microcentrifuge tubes with screw caps	Fisher Scientific	02-681-375
2-Propanol	Fisher Scientific	A416-4
200 mM L-Glutamine Solution	Fisher Scientific	MT25-005-CI
2000 mL Nalgene Erlenmeyer Flasks	Fisher Scientific	10-041-10F
22 G x 25 mm Needles	Fisher Scientific	14-826B
229 mm Disposable Borosilicate Glass Pasteur Pipets	Fisher Scientific	13-678-20C
24 Well Falcon Tissue Culture Plates	Fisher Scientific	08-772-1
25 G x 7/8 in. Needles	Fisher Scientific	14-826G
25 mL Corning  Serological Pipets	Fisher Scientific	0 7200575
25 mL Falcon Disposable Polystyrene Serological Pipets	Fisher Scientific	13-668-2
25 mL/12.5 sq. cm Falcon Tissue Culture Treated Flasks	Fisher Scientific	08-772-1E
25 mm x 75 mm Precleaned Frosted Microscope Slides	Fisher Scientific	12-552-3
250 mL  Millipore Stericup Sterile Vacuum Filter units (filter bottles); 0.22 um	Fisher Scientific	SCGPU02RE
250 mL Translucent White Wash Bottles With Screw Cap And Nozzle	Fisher Scientific	03-409-23T
250 mL/75 sq. cm Falcon Tissue Culture Treated Flasks	Fisher Scientific	10-126-5
26 G x 13 mm. Needles	Fisher Scientific	14-826-15
3 in. x 3 in. Low-Nitrogen weighing Paper	Fisher Scientific	09-898-12A
3 mL Syringe	Fisher Scientific	14-823-435
30 mm x 24 mm Microscope cover glass	Fisher Scientific	12-545-B
35 mm x 10 mm Tissue Culture Dish	Fisher Scientific	08-772A
35 mm x 150 mm FisherBiotech Hybridization Tubes	Fisher Scientific	13-247-150
35 mm x 300 mm Hybridization Tube	Fisher Scientific	13-247-300
37% Hydrochloric Acid	Fisher Scientific	A144SI-212
4 cm Surgical Blades; blade size: 21	Fisher Scientific	08-918-5B
4 in. x 4 in. Low-Nitrogen weighing Paper	Fisher Scientific	09-898-12B
40 um Nylon Cell Strainer	Fisher Scientific	22-363-547
48 Well Falcon Tissue Culture Plates	Fisher Scientific	08-772-1C
5 mL Corning Serological Pipets	Fisher Scientific	0 7200573
5 mL Falcon Disposable Polystyrene Serological Pipets	Fisher Scientific	13-675-22
5 mL Falcon Disposable Polystyrene Serological Pipets (bulk pack)	Fisher Scientific	13-675-21
5 mL Polystyrene Round-Bottom Tube (for FACS)	Fisher Scientific	14-959-5
5 mL Polystyrene Round-Bottom Tube; sterile; 12 mm x 75 mm	Fisher Scientific	149591A
5 mL Syringe	Fisher Scientific	14-829-45
50 mL  Corning Serological Pipets	Fisher Scientific	13-675-27
50 mL Conical Tubes; 30 mm x 115 mm	Fisher Scientific	1495949A
50 mL Falcon Disposable Polystyrene Serological Pipets	Fisher Scientific	13-675-27
50 mL Non Sterile Solution Basins	Fisher Scientific	13-681-500
50 mL Sterile Solution Basins	Fisher Scientific	13681501
500 mL  Millipore Stericup Sterile Vacuum Filter units (filter bottles); 0.22 um	Fisher Scientific	SCGPU05RE
500 mL Glass Flask	Fisher Scientific	FB-500-500
500 mL Pyrex Glass Bottles	Fisher Scientific	06-414-1C
500 mL Sprayer Bottles	Fisher Scientific	03-438-12A
500 mL Translucent White Wash Bottles With Screw Cap And Nozzle	Fisher Scientific	03-409-22C
6 mL HDPE Scintillation Vials with caps	Fisher Scientific	14-955-389
6 Well Falcon Tissue Culture Plates	Fisher Scientific	08-772-1B
60 mL Syringe	Fisher Scientific	13-689-8
60 mL Thermo Scientific Nalgene Square Bottles	Fisher Scientific	033111P
60 mm x 15 mm Falcon Easy-Grip Tissue Culture Dishes	Fisher Scientific	08-772F
70 mL/25 sq. cm Falcon Tissue Culture Treated Flasks	Fisher Scientific	08-772-19
70 um Nylon Cell Strainer	Fisher Scientific	22-363-548
750 mL/175 sq. cm Falcon Tissue Culture Treated Flasks	Fisher Scientific	10-126-8
9 cm x 23 cm Instant Sealing Sterilization Pouch	Fisher Scientific	01-812-51
9 V Rechargeable Battery for Pipet Aid	Fisher Scientific	1368115B
96 Well Assay Plate (Round Bottom)	Fisher Scientific	08-772-5
96 Well Flat Bottom Falcon Tissue Culture Plates	Fisher Scientific	08-772-2C
96 Well U Bottom Falcon Tissue Culture Plates	Fisher Scientific	08-772-17
Absolute Blue QPCR SYBR Green Rox Mix	Fisher Scientific	AB-4162B
Acetic Acid	Fisher Scientific	A507P212
All-Purpose lab Wrap; 45 cm x 305 m	Fisher Scientific	15610
Aluminum Foil; 45.7 cm x 152.4 cm	Fisher Scientific	01-213-105
Anti-Human IgM (u chain specific; goat; Southern Biotech 2020-01)	Fisher Scientific	OB202001
Aquaguard-2 (water bath)	Fisher Scientific	50-310-633
Bacdown Antimicrobial Hand Soap	Fisher Scientific	04-355-17
Black Fine Tip Marker Pen	Fisher Scientific	13-379-4
Boric Acid, Electrophoresis Grade	Fisher Scientific	BP168-1
Chloroform	Fisher Scientific	C606-4
Clorox Bleach; 8.25%; 121 oz.	Fisher Scientific	50371500
Constant Voltage Power Supply; Model EC-105	Fisher Scientific	FB-105
Cryo Cool Heat Transfer Fluid for Speed Vacuum	Fisher Scientific	SCC1
D1200 Tipack; 10 Tiboxes 96; 100-1200 uL (non-filter tips)	Fisher Scientific	F161112G
D200 TowerPack; 10 racks 96; 2-200 uL (refill non-filter tips)	Fisher Scientific	F167103G
Dextran Sulfate sodium salt	Fisher Scientific	BP1585-500
DF100ST 10 Tiboxes 96; 10-100 uL (filter tips)	Fisher Scientific	F171403G
DF10ST 10 Tiboxes 96; 0.1-10 uL (filter tips)	Fisher Scientific	F171103G
DF1200ST 10 Tiboxes 96; 100-1200 uL (filter tips)	Fisher Scientific	F171803G
DF200ST 10 Tiboxes 96; 2-200 uL (filter tips)	Fisher Scientific	F171503G
DF300ST 10 Tiboxes 96; 30-300 uL (filter tips)	Fisher Scientific	F171603G
DF30ST 10 Tiboxes 96; 2-30 uL (filter tips)	Fisher Scientific	F171303G
Dimethyl Sulfoxide	Fisher Scientific	D128-500
Disposable Cell lifter	Fisher Scientific	7200364
Disposable Scalpel; Blade No. 21	Fisher Scientific	08-927-5D
Dressing Forceps	Fisher Scientific	13-812-39
DTT (Dithiothreitol)	Fisher Scientific	BP172-5
Dual-Luciferase Reporter Assay System	Fisher Scientific	NC0277141
EtBr Greenbag Disposal Kit	Fisher Scientific	NC0620730
Extra Small Powder Free Latex Gloves	Fisher Scientific	19167030A
FastAP Thermosensitive Alkaline Phosphatase	Fisher Scientific	FEREF0651
FastDigest AfeI	Fisher Scientific	FERFD0324
FastDigest AgeI	Fisher Scientific	FERFD1464
FastDigest AscI	Fisher Scientific	FERFD1894
FastDigest AseI	Fisher Scientific	FERFD0914
FastDigest BamHI	Fisher Scientific	FERFD0054
FastDigest BglII	Fisher Scientific	FERFD0084
FastDigest BsmBI	Fisher Scientific	FERFD0454
FastDigest Bsp1407I	Fisher Scientific	FERFD0934
FastDigest ClaI	Fisher Scientific	FERFD0144
FastDigest DpnI	Fisher Scientific	FERER1702
FastDigest EcoNI	Fisher Scientific	FERFD1304
FastDigest EcoRI	Fisher Scientific	FERFD0274
FastDigest EcoRV	Fisher Scientific	FERFD0304
FastDigest FspI	Fisher Scientific	FERFD1224
FastDigest HindIII	Fisher Scientific	FERFD0504
FastDigest HpaI	Fisher Scientific	FERFD1034
FastDigest KpnI	Fisher Scientific	FERFD0524
FastDigest MfeI	Fisher Scientific	FERFD0754
FastDigest MluI	Fisher Scientific	FERFD0564
FastDigest MSSI	Fisher Scientific	FERFD1344
FastDigest NcoI	Fisher Scientific	FERFD0574
FastDigest NdeI	Fisher Scientific	FERFD0584
FastDigest NheI	Fisher Scientific	FERFD0974
FastDigest NotI	Fisher Scientific	FERFD0594
FastDigest Notl	Fisher Scientific	FERFD0595
FastDigest PacI	Fisher Scientific	FERFD2204
FastDigest PdmI	Fisher Scientific	FERFD1534
FastDigest SalI	Fisher Scientific	FERFD0644
FastDigest SfiI	Fisher Scientific	FERFD1824
FastDigest SmaI	Fisher Scientific	FERFD0664
FastDigest SpeI	Fisher Scientific	FERFD1254
FastDigest SphI	Fisher Scientific	FERFD0604
FastDigest SwaI	Fisher Scientific	FERFD1244
FastDigest XbaI	Fisher Scientific	FERFD0684
FastDigest XhoI	Fisher Scientific	FERFD0694
FB Cotton Tip Applicators 3 in.; non-sterile for wipe tests	Fisher Scientific	23-400-100
Fetal Bovine Serum (FBS) for ES cell	Fisher Scientific	NC0284916
Formamide	Fisher Scientific	BP227-500
FUSE; SLO/BLO 1 AMP 3AG1/4x1 for Power Supply EC-105 and 250	Fisher Scientific	E70-0004-01
Gel Tray for Owl gel Box	Fisher Scientific	B2-UVT
Gel-Loading Pipet Tips	Fisher Scientific	02-707-81
GeneRuler 1 kb Plus DNA Marker, Ready-to-Use [0.1ug/ul]	Fisher Scientific	SM1333
Glycine; TC grade	Fisher Scientific	BP381-5
Hand Held UV lamp	Fisher Scientific	UVP95001709
Hybridization Tube Caps	Fisher Scientific	13-247-GL45
Kimax Caps for Media Bottles; gPI Thread: 33-430; With Bonded PTFE-Faced Silicone liners (cap diameter: 33mm)	Fisher Scientific	03-340-30
Kimax Flask with Detachable Side Arm	Fisher Scientific	10-181-5E
Kimwipes Ex-L Delicate Task Wipers	Fisher Scientific	06666A
Klenow Fragment	Fisher Scientific	EP0051
KOVA Glasstic Slide 10 With Grids (Chamber)	Fisher Scientific	22270141
Large Powder Free Latex Gloves	Fisher Scientific	19167030D
Large White Men's Poly/Cotton Lab Coat	Fisher Scientific	19-166-262
Large White Women's Poly/Cotton Lab Coat	Fisher Scientific	19-166-282
Lid Spring with holder for Eppendorf Centrifuge 5424	Fisher Scientific	NC0404944
Medium Powder Free Latex Gloves	Fisher Scientific	19167030C
Medium Powder Free Nitrile Gloves	Fisher Scientific	19-170-010b
Medium White Men's Poly/Cotton Lab Coat	Fisher Scientific	19-166-261
Medium White Women's Poly/Cotton Lab Coat	Fisher Scientific	19-166-281
Methanol	Fisher Scientific	A454-4
Molecular Grade Water	Fisher Scientific	MT46-000-CM
N; N-Dimethyl Formamide	Fisher Scientific	D119-500
Offset-Tipped Forceps	Fisher Scientific	10-295
Owl Easy cast B2 Mini gel electrophoresis system	Fisher Scientific	09528-110B
Pierce ECL Western Blotting Substrate	Fisher Scientific	PI32106
Pipet Aid: Filler/Dispenser; Standard Model; Electrically powered; 1-150 mL	Fisher Scientific	1368115
Potassium Acetate	Fisher Scientific	P171-500
Proguard Hand Cream Dispenser	Fisher Scientific	04-355-21
PVC Tubing; I.D: 0.38 in.; Wall thickness: 0.06 in.; O.D: 0.5 in.; 50 ft	Fisher Scientific	14-169-7G
PVC Tubing; I.D: 1/4 in.; Wall Thickness 0.06 in.; O.D: 0.375 in.; 50 ft	Fisher Scientific	14-169-7C
Pyrex Filtering Flasks with Tubulation	Fisher Scientific	10-180F
Pyrex Filtering Flasks with Tubulation	Fisher Scientific	10-180G
Pyrex Reusable lab glass Bottle; 100 mL	Fisher Scientific	06-414-1A
Pyrex Reusable lab glass Bottle; 250 mL	Fisher Scientific	06-414-1B
Q-GARD 1 Purification Pack for Millipore water purification system	Fisher Scientific	QGARD00R1
Q-GARD 2 Water Purification Cartridge; Millipore;	Fisher Scientific	QGARD00D2
Redi-Tip Pipet Tips (yellow tip), 1-200 uL, sterile	Fisher Scientific	2707502
Replacement Cap for glass Media Bottles and for Kimax-35 bottles	Fisher Scientific	FB-800-STDCAP
Restore Western Blot Stripping Buffer	Fisher Scientific	PI21059
Rubber Insert For Drummond Pipet-Aid	Fisher Scientific	13-681-17
Sda I (sbfI) 10U/uL	Fisher Scientific	FERER1191
Self-locking Double Layer Filter For Pipet-Aid; non-sterile	Fisher Scientific	1368118C
Small Powder Free Latex Gloves	Fisher Scientific	19167030B
Small Powder Free Nitrile Gloves	Fisher Scientific	19-170-010A
Small White Men's Poly/Cotton Lab Coat	Fisher Scientific	19-166-260
Small White Women's Poly/Cotton Lab Coat	Fisher Scientific	19-166-280
Sodium Acetate Trihydrate (Crystalline/Certified ACS)	Fisher Scientific	S209-500
Sodium Chloride	Fisher Scientific	S640-10
Sodium Citrate; USP grade	Fisher Scientific	S466-3
Streptavidin DyLight 405 Fluorescent Conjugated	Fisher Scientific	21831
Sucrose (Crystalline/Certified ACS)	Fisher Scientific	S5-3
Super Signal West Dura Extended Duration Substrate	Fisher Scientific	PIA34075
Superfrost Plus Microscope Slides	Fisher Scientific	12-550-15
T4 DNA Polymerase	Fisher Scientific	EP0061
T4 Polynucleotide Kinase	Fisher Scientific	EK0031
Tween 20	Fisher Scientific	BP337-500
Ultra Centrifigation Grade Cesium Chloride	Fisher Scientific	BP210-500
UV Tube Lamp for UV Transilluminator	Fisher Scientific	UVP34-0042-01
Versi-Dry lab Bench Protector (lab soaker or bench paper) roll; 51 cm x 91 m	Fisher Scientific	14-206-30
Weighing Dish (boat); blue; medium; 89 cm x 89 cm x 25 cm	Fisher Scientific	08-732-114
Weighing Dish (boat); white; 1 1/2 in x 1 1/2 in.	Fisher Scientific	2202100
Weighing Dish (boat); white; 5 1/2 in. x 5 1/2 in.	Fisher Scientific	08-732-115
Whatman 3MM Chromatography Paper; 20 cm x 20 cm	Fisher Scientific	05-716-3V
Whatman 3MM Chromatography Paper; 46 cm x 57 cm	Fisher Scientific	05-714-5
Whatman Filter Device Vacu-Guard	Fisher Scientific	09-744-75
White Filter Cards	Fisher Scientific	5991022
X-Large White Men's Poly/Cotton Lab Coat	Fisher Scientific	19-166-263
X-Large White Women's Poly/Cotton Lab Coat	Fisher Scientific	19-166-283
X-Small White Men's Poly/Cotton Lab Coat	Fisher Scientific	19-166-268
X-Small White Women's Poly/Cotton Lab Coat	Fisher Scientific	19-168-327
Xylenes; histological grade	Fisher Scientific	X3P-1GAL
20 cm x 20 cm Hybond ECL Nitrocellulose Membrane	GE Healthcare Life Sciences	RPN2020D
30 cm x 3 m Hybond ECL Nitrocellulose Membrane; Amersham	GE Healthcare Life Sciences	RPN303D
ECL Mouse IgG, HRP-linked whole Ab (from sheep)	GE Healthcare Life Sciences	NA931-1ML
ECL Rabbit IgG, HRP-linked whole Ab (from donkey)	GE Healthcare Life Sciences	NA934-1ML
Ficoll-Paque PLUS	GE Healthcare Life Sciences	17-1440-03
Protein G Sepharose 4 Fast Flow	GE Healthcare Life Sciences	17-0618-01
Ready-To-Go DNA Labeling Beads (dCTP)	GE Healthcare Life Sciences	27-9240-01
Anti-Goat IgG (H+L), AffiniPure (Donkey)-Biotin	Jackson ImmunoResearch	705-065-147
Anti-Goat IgG (H+L), AffiniPure (Donkey)-Cy3	Jackson ImmunoResearch	705-165-003
Anti-Goat IgG (H+L), AffiniPure Fab Fragment (Donkey)-FITC	Jackson ImmunoResearch	705-095-147
Anti-Hamster IgG (H+L), AffiniPure (Goat)-Biotin	Jackson ImmunoResearch	127-065-160
Anti-mouse IgG (H+L), AffiniPure Fab Fragment (Donkey)-Cy3	Jackson ImmunoResearch	715-167-003
Anti-mouse IgG (H+L), AffiniPure Fab Fragment (Goat)-FITC	Jackson ImmunoResearch	115-097-003
Anti-Rabbit IgG (H+L), AffiniPure (Donkey)-Biotin	Jackson ImmunoResearch	711-165-152
Anti-Rabbit IgG (H+L), AffiniPure Fab Fragment (Goat)-Biotin	Jackson ImmunoResearch	111-067-003
Anti-Rabbit IgG (H+L), AffiniPure Fab Fragment (Goat)-FITC	Jackson ImmunoResearch	111-097-003
Anti-Rat IgG (H+L), AffiniPure (Donkey)-Cy3	Jackson ImmunoResearch	712-165-153
Anti-Rat IgG (H+L), AffiniPure (Goat)-Alkaline Phosphatase	Jackson ImmunoResearch	112-055-167
Cy3-AffiniPure Donkey Anti-Rabbit IgG (H+L)	Jackson ImmunoResearch	711-165-152
Cy3-AffiniPure Goat Anti-Mouse IgG	Jackson ImmunoResearch	115-165-205
Streptavidin-Cy3	Jackson ImmunoResearch	016-160-084
Dry Milk	Labscientific	M-0841
White Hinged Multi Cassettes	Leica Microsystems	3802276-cs
0.4% Trypan Blue Stain	Life Technologies	15250-061
10 mg/mL UltraPure Ethidium Bromide	Life Technologies	15585-011
100 mM dATP	Life Technologies	10216-018
100 mM dCTP	Life Technologies	10217-016
100 mM dGTP	Life Technologies	10218-014
100 mM dNTP Set	Life Technologies	10297-117
100 mM dTTP	Life Technologies	10219-012
10X PCRx Enhancer System	Life Technologies	11495-017
1M HEPES	Life Technologies	15630-080
2-YT Broth Medium	Life Technologies	22712-020
20X NuPAGE Transer Buffer	Life Technologies	NP0006-1
20X NuPAGE Tris-Acetate SDS Running Buffer	Life Technologies	LA0041
55 mM 2-Mercaptoethanol	Life Technologies	21985-023
AccuPrime Taq DNA Polymerase; high fidelity	Life Technologies	12346-086
Anti-GFP, Rabbit IgG; Alexa Fluor 555 Conjugated	Life Technologies	A-31851
APEX Alexa Fluor 647 Antibody labeling Kit	Life Technologies	A10475
CellTrace CFSE Cell Proliferation Kit	Life Technologies	C34554
Countess Chamber Slides	Life Technologies	C10314
DMEM (Dulbecco's Modified Eagle Medium)	Life Technologies	11965-118
DMEM for ES cell	Life Technologies	11995-065
DMEM for ES cell	Life Technologies	11995-073
Fetal Bovine Serum (FBS); qualified; US origin	Life Technologies	26140-079
Fluorescein/Oregon green Rabbit IgG Antibody Fraction, Horseradish Peroxidase Conjugate	Life Technologies	A-21253
Glycogen (ultrapure)	Life Technologies	10814-010
IMDM (Iscove's Modified Dulbecco's Medium)	Life Technologies	12440-061
LB Agar; powder (Lennox L agar)	Life Technologies	22700-041
Luria Broth Base (Miller's lB Broth Base)	Life Technologies	12795-084
MEM Sodium Pyruvate Solution	Life Technologies	11360-070
MicroAmp Clear Adhesive Film	Life Technologies	4306311
MicroAmp Optical 8-Cap-Strip	Life Technologies	4323032
MicroAmp Optical 96 Well Reaction Plates	Life Technologies	N801-0560
NeutrAvidine, Avidin-FITC	Life Technologies	A2662
Novex 3-8 % Tris-Acetate Protein gels; 1.0 mm; 10 well	Life Technologies	EA0375BOX
Novex 3-8 % Tris-Acetate Protein gels; 1.0 mm; 12 well	Life Technologies	EA03752BOX
Novex 3-8 % Tris-Acetate Protein gels; 1.5 mm; 15 well	Life Technologies	EA03785BOX
Novex 4-12 % Tris-Glycine Mini Protein gels; 1.0 mm; 12 well	Life Technologies	EC60352BOX
Novex 4-12 % Tris-Glycine Mini Protein gels; 1.0 mm; 15 well	Life Technologies	EC60355BOX
Novex 4-12 % Tris-Glycine Mini Protein gels; 1.5 mm; 10 well	Life Technologies	EC6038BOX
Novex 4-12 %Tris-Glycine gel; 1.0mm; 10 well	Life Technologies	EC6035BOX
Novex 4-20 % Tris-Glycine Mini Protein gels; 1.0 mm; 10 well	Life Technologies	EC6025BOX
Novex 4-20 % Tris-Glycine Mini Protein gels; 1.0 mm; 12 well	Life Technologies	EC60252BOX
Novex 4-20 % Tris-Glycine Mini Protein gels; 1.0 mm; 15 well	Life Technologies	EC60255BOX
